Please select your district.,Are you responding for...,Name of school:,Are computer science or coding courses currently offered in your district?,What grade bands are currently offering CS courses?Select all that apply,,,,Which of the following best describes the computer science courses offered in your district?Select all that apply,,,,,,,,,Approximately how many students are currently enrolled in computer science courses in your district?Best estimate is fine,Is Computer Science required for graduation in your district?,"For Computer Science courses that are offered, which graduation credits can they satisfy?Select all that apply. If it varies, select all that occur anywhere in your district.",,,,,,,,,"If Computer Science can count as math or science credit, note any conditions or limits.(e.g. only AP CS A counts as math; max 1.0 credit; board policy reference)","Are computer science courses offered in all schools in your district, or only in some?",What would need to change in order for your district to offer computer science courses?Select up to 3,,,,,,,,,Approximately how many teachers in your district currently teach computer science or CS-related courses?Include full-time and part-time CS teachers; best estimate is fine,What are the primary challenges related to staffing computer science instruction in your district?Select all that apply,,,,,,,,,What qualifications or credentials do teachers who teach computer science typically have?Check all that apply,,,,,,,,How are computer science teaching assignments typically made in your district?,Is your district currently using or implementing the Alaska Computer Science and/or Digital Literacy Standards?,What are the TOP THREE barriers to offering or expanding computer science instruction in your district?,,,,,,,,,,,,,Are there specific student populations in your district that currently have limited or no access to computer science education?Select all that apply,,,,,,,,,,
Response,Response,Open-Ended Response,Response,K-2,3-5,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",CS integrated into math or science courses,Robotics or engineering courses with coding components,Game design or app development courses,Cybersecurity courses,Data science or data analytics courses,CTE pathways with CS or technology focus,Coding clubs or after-school programs (not for credit),Other (please specify),Response,Response,Elective credit,Math credit,Science credit,CTE credit,Technology or digital Studies credit (local requirement),Varies by course,Varies by school,CS courses are offered but do not count toward graduation,Other (please specify),Open-Ended Response,Response,Access to CS-trained teachers,Professional development for current teachers,Funding for CS curriculum and resources,Funding for teaching positions,Guidance on how to integrate CS into existing courses,Examples of how other Alaska districts are implementing CS,Technology infrastructure improvements,Support from district leadership,Community or parent demand for CS courses,Response,No teachers qualified or interested in teaching CS,Teachers interested but lack CS content knowledge or training,No funding for dedicated CS teaching positions,Difficult to recruit CS teachers in Alaska's job market,Scheduling conflicts or competing teaching assignments,Teachers teaching CS have limited planning time or support,No staffing challenges (CS instruction is well-supported),Not applicable (no CS courses currently offered),Other (please specify),Computer science teaching endorsement or certification,Math or science teaching certification (teaching CS as additional assignment),CTE certification in technology or related field,College degree in computer science or related field,Professional development or training in CS education,Industry experience in technology or software development,Self-taught or no formal CS qualifications,I am unsure,Response,Response,Lack of qualified or trained teachers,No teacher interest in teaching CS,No funding for CS curriculum or resources,No funding for CS teaching positions,Scheduling constraints or conflicts with other required courses,Low student enrollment or interest,Lack of administrator support or prioritization,"Technology or infrastructure limitations (devices, internet, etc.)",Uncertainty about how CS fits into graduation requirements,Limited awareness of CS curriculum options,Equity concerns (ensuring access for all students),Geographic isolation or small school size,Other (please specify),Elementary students (K-5),Middle school students (6-8),High school students (9-12),Students in specific geographic areas or schools,Students in rural or remote communities,Alaska native students,Students with disabilities or receiving special education services,English learners,Female students,No specific populations have limited access,Other (please specify)
Yukon-Koyukuk School District,Entire district,,"Yes, computer science courses are offered",K-2,3-5,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",CS integrated into math or science courses,,Game design or app development courses,,Data science or data analytics courses,CTE pathways with CS or technology focus,,,26-50 students,No,Elective credit,Math credit,Science credit,CTE credit,,,,,,It varies by course,CS courses are available in all schools,,,,,,,,,,3-5 teachers,,Teachers interested but lack CS content knowledge or training,No funding for dedicated CS teaching positions,Difficult to recruit CS teachers in Alaska's job market,,,,,,Computer science teaching endorsement or certification,Math or science teaching certification (teaching CS as additional assignment),CTE certification in technology or related field,,Professional development or training in CS education,,,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are aware of the standards but implementation is limited",Lack of qualified or trained teachers,,No funding for CS curriculum or resources,No funding for CS teaching positions,,,,,,,,,,,,,,,,,,,No specific populations have limited access,
Yukon-Koyukuk School District,Entire district,,"Yes, computer science courses are offered",,,,,,,,Game design or app development courses,,,,,,1-25 students,,,,,,Technology or digital Studies credit (local requirement),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nenana City School District,One school (name it below),Nenana,"Yes, computer science courses are offered",,,,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,,,,,,,,1-25 students,No,Elective credit,,Science credit,,,,,,,,CS courses are available in one school only,,,,,,,,,,1-2 teachers,,,,,Scheduling conflicts or competing teaching assignments,,,,,,,,,,,,I am unsure,CS is taught by teachers on a volunteer or interest basis,"Yes, we are aware of the standards but implementation is limited",,,,,Scheduling constraints or conflicts with other required courses,,,,Uncertainty about how CS fits into graduation requirements,Limited awareness of CS curriculum options,,,,Elementary students (K-5),Middle school students (6-8),,,,,,,,,
Galena City School District,One school (name it below),Sidney C Huntington and Galena Interior Learning Academy,"Yes, computer science courses are offered",K-2,3-5,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,Robotics or engineering courses with coding components,,,,,Coding clubs or after-school programs (not for credit),,26-50 students,No,Elective credit,,,CTE credit,,,,,,,CS courses are available in all schools,,,,,,,,,,1-2 teachers,No teachers qualified or interested in teaching CS,,No funding for dedicated CS teaching positions,Difficult to recruit CS teachers in Alaska's job market,Scheduling conflicts or competing teaching assignments,,,,,,Math or science teaching certification (teaching CS as additional assignment),,,,,Self-taught or no formal CS qualifications,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are aware of the standards but implementation is limited",Lack of qualified or trained teachers,,No funding for CS curriculum or resources,No funding for CS teaching positions,Scheduling constraints or conflicts with other required courses,,,,,,,,,,,,,,,,,,No specific populations have limited access,
Bering Strait School District,Entire district,,"Yes, computer science courses are offered",,,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,,,,,CTE pathways with CS or technology focus,,,26-50 students,No,Elective credit,,,,,,,,,,CS courses are available in some schools,,,,,,,,,,3-5 teachers,No teachers qualified or interested in teaching CS,Teachers interested but lack CS content knowledge or training,No funding for dedicated CS teaching positions,,,Teachers teaching CS have limited planning time or support,,,,,,,,,,,I am unsure,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are aware of the standards but implementation is limited",Lack of qualified or trained teachers,,,,Scheduling constraints or conflicts with other required courses,,Lack of administrator support or prioritization,,,,,,,Elementary students (K-5),,,,Students in rural or remote communities,,Students with disabilities or receiving special education services,,,,
Copper River School District,Entire district,Copper River School District,"No, computer science courses are not currently offered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funding for CS curriculum and resources,Funding for teaching positions,,,Technology infrastructure improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol Bay Borough School District,Entire district,Bristol Bay,"Yes, computer science courses are offered",,,6-8,9-12,,,,,,,,,BBRCTE,1-25 students,No,Elective credit,,,,,,,,,,CS courses are available in some schools,,,,,,,,,,1-2 teachers,,,,,,,,,BBRCTE,,,,,,,,I am unsure,I am unsure,"Yes, we are actively using and implementing the standards",,,,,,,,,,,,,,,,,,,,,,,,
Saint Mary's School District,Entire district,Saint Mary's Schools,"Yes, computer science courses are offered",,,6-8,9-12,,,,,,,CTE pathways with CS or technology focus,,,1-25 students,No,Elective credit,,,,,,,,,,CS courses are available in one school only,,,,,,,,,,No teachers currently teaching CS,,,,,,,No staffing challenges (CS instruction is well-supported),,,,,,,,,Self-taught or no formal CS qualifications,,I am unsure,"No, we are not currently using the standards",,,No funding for CS curriculum or resources,No funding for CS teaching positions,Scheduling constraints or conflicts with other required courses,,,,,,,,,,,,,,,,,,No specific populations have limited access,
Yupiit School District,Entire district,,"Yes, computer science courses are offered",K-2,3-5,6-8,9-12,,,Robotics or engineering courses with coding components,,,,,Coding clubs or after-school programs (not for credit),,1-25 students,No,Elective credit,,,,,,,,,,CS courses are available in one school only,,,,,,,,,,1-2 teachers,,,No funding for dedicated CS teaching positions,,Scheduling conflicts or competing teaching assignments,,,,,,,,,Professional development or training in CS education,,Self-taught or no formal CS qualifications,,CS is taught by teachers on a volunteer or interest basis,"No, we are not currently using the standards",Lack of qualified or trained teachers,No teacher interest in teaching CS,No funding for CS curriculum or resources,No funding for CS teaching positions,Scheduling constraints or conflicts with other required courses,,,"Technology or infrastructure limitations (devices, internet, etc.)",,,,Geographic isolation or small school size,,,,,,,,,,,No specific populations have limited access,
